gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
Macf1;6.59262559026664E-06;-0.252791452577901;0.153;0.178;0.212842917181759
Ahnak;4.13274700509531E-09;-0.252377609081643;0.516;0.524;0.00013342573706
Prdx6;1.36479294724505E-06;-0.250967983012479;0.218;0.246;0.044062340301807
4930486L24Rik;3.32003433948632E-16;-0.249936413327078;0.028;0.058;1.07187308650316E-11
Klrd1;5.61127790412918E-18;-0.249575420398372;0.406;0.473;1.81160107134811E-13
Arhgdib;2.33263969090011E-47;-0.248929787104137;0.934;0.923;7.53092724207099E-43
Atxn1;0.000311077260922;-0.247351501329296;0.158;0.176;1
Kremen2;3.11197772517259E-14;-0.247004473264635;0.036;0.067;1.00470200857197E-09
Neat1;6.24651398609099E-05;-0.245992433935468;0.129;0.15;1
Cd2;1.10705775628974E-15;-0.245012766235458;0.6;0.615;3.57413596618142E-11
9930111J21Rik2;1.22022018715822E-06;-0.244989606474623;0.095;0.12;0.039394808742403
Ccnd3;5.53135802725651E-06;-0.244844859395565;0.22;0.246;0.178579893909976
Kmt2e;0.000383739605251;-0.244751544652832;0.224;0.242;1
Rpl13a;1.36335663590376E-102;-0.244536815540696;0.997;0.996;4.40159689901528E-98
Rnf166;1.6762873607777E-05;-0.244080774447665;0.203;0.226;0.54118937442708
Gm12840;3.5221943062156E-05;-0.243074526129484;0.097;0.117;1
Crlf2;1.65014673486183E-06;-0.242953242798674;0.264;0.291;0.053274987335014
Lamb3;5.75816223897166E-14;-0.241174377981756;0.033;0.063;1.859022678852E-09
Gimap3;2.37872017055292E-07;-0.240521402883228;0.427;0.443;0.00767969807063
Arl6ip1;2.52585001880817E-06;-0.240330953652131;0.469;0.472;0.081547067857222
Ndufa3;0.000356852998818;-0.238055666196731;0.321;0.328;1
Ggh;4.19593798475536E-09;-0.233920815649305;0.09;0.121;0.000135465857838
Utrn;2.76027588119938E-07;-0.232796855349624;0.073;0.098;0.008911550682452
Parp14;5.56050324230382E-08;-0.231437811525466;0.075;0.102;0.001795208471778
Xrn2;0.000271570551802;-0.231321470473774;0.342;0.349;1
Prkcq;1.13920545924855E-06;-0.231288336881367;0.148;0.176;0.036779248251839
Arhgap45;0.000222434239537;-0.230835572586267;0.215;0.233;1
Gm2682;0.004231815727425;-0.230596295623694;0.158;0.171;1
Arl4c;3.54759790806943E-06;-0.230171172084461;0.09;0.113;0.114534198462022
Dgka;9.79353242798153E-06;-0.230085601851583;0.097;0.119;0.316184194437384
Gbp7;0.000555903192832;-0.229891727510133;0.16;0.179;1
AI467606;1.51728790833554E-06;-0.229397406252631;0.072;0.094;0.048985640120613
Xaf1;0.002400685274066;-0.229292486238524;0.161;0.176;1
Igf2r;2.90851211066118E-08;-0.229042195155938;0.057;0.082;0.000939013134927
Ifit1bl1;1.50101851830689E-12;-0.227838885413566;0.02;0.042;4.84603828635378E-08
Cap1;0.000256716313256;-0.227178401580992;0.386;0.389;1
Tmem50a;4.19730731040616E-07;-0.226597290172096;0.485;0.489;0.013551006651646
Pdlim2;5.11593335015289E-07;-0.225941924432122;0.117;0.145;0.016516790820969
Scand1;3.92268768932074E-07;-0.225598948300448;0.402;0.418;0.012664397204972
Nipal3;4.04055817559414E-08;-0.225230379287471;0.065;0.091;0.001304494206991
Tbc1d10c;0.000118167441883;-0.224484050605656;0.297;0.313;1
Bbip1;5.92455644169197E-08;-0.224236982187165;0.088;0.117;0.0019127430472
Isg15;0.059781874614841;-0.222007536749522;0.131;0.138;1
Fyb;0.00016184347545;-0.221493786905903;0.268;0.287;1
Stat4;0.00016417919015;-0.221480931269641;0.171;0.191;1
Slc50a1;0.000131563671863;-0.220266427830565;0.157;0.179;1
Cd53;0.000190571435241;-0.218475117924724;0.276;0.293;1
St3gal6;8.21577468222305E-08;-0.218047899326224;0.076;0.103;0.002652462856156
Dennd1c;5.95786741918861E-07;-0.216258530072793;0.08;0.105;0.01923497496285
Ap2s1;5.56704975401336E-06;-0.216181561823332;0.379;0.397;0.179732201308321
Irf9;1.0631487476576E-05;-0.21543563859745;0.078;0.1;0.343237573181255
Gpr171;7.35356204624394E-07;-0.213717487294162;0.099;0.126;0.023740975066299
Gimap8;2.37525966465179E-06;-0.213664384270771;0.094;0.119;0.076685258273283
Dstn;6.80142064939145E-16;-0.21324295402226;0.028;0.058;2.19583865665603E-11
Mrpl58;0.003178630600151;-0.211280871177463;0.291;0.3;1
Klrc1;0.005375642207595;-0.211238517600567;0.182;0.195;1
Cd44;1.28509020984882E-09;-0.210940761093609;0.089;0.122;4.14891374249692E-05
Nabp2;3.13152349323797E-05;-0.210899257501076;0.133;0.155;1
