p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1.20987168066475E-187;0.305348033721834;1;0.999;3.90607072102614E-183;TexProg;Rps24
4.75122761799131E-186;0.4053956441578;0.998;0.988;1.5339338364685E-181;TexProg;Rps19
2.14387949879386E-183;0.859818355084667;0.304;0.077;6.92151496185596E-179;TexProg;Rgs10
4.08629556568784E-182;0.405274949648557;0.997;0.978;1.31926052338232E-177;TexProg;Rpl12
2.33954501452622E-174;0.443246725003652;0.996;0.972;7.55322107939791E-170;TexProg;Rpl15
3.60587982697856E-171;0.806572715603183;0.227;0.048;1.16415830214003E-166;TexProg;Crtam
1.06644120498742E-164;0.929854225880961;0.619;0.302;3.44300543030187E-160;TexProg;Emb
4.46584010814345E-164;0.429235480358336;0.999;0.979;1.44179647891411E-159;TexProg;Rps26
3.74403739863513E-163;0.401756624838887;0.999;0.984;1.20876247414935E-158;TexProg;Rpl28
1.57617277757971E-162;0.342976069694989;0.999;0.997;5.08867381241611E-158;TexProg;Rpl18
9.18279568655524E-162;0.406705752892635;0.998;0.982;2.96466558740436E-157;TexProg;Rpl36
2.93079460978794E-159;0.528059582176225;0.977;0.895;9.46207039770035E-155;TexProg;Eef1b2
2.70066165321916E-158;0.824172945599752;0.222;0.05;8.71908614741806E-154;TexProg;Ikzf2
1.05311047073845E-155;0.305482830773594;1;0.999;3.39996715477908E-151;TexProg;Rps10
3.71190794535473E-153;0.419490299384385;0.994;0.975;1.19838948015777E-148;TexProg;Rpl10a
8.06346780147247E-150;0.341028623151347;0.999;0.995;2.60329057970539E-145;TexProg;Rps23
6.04050173149103E-149;0.448219121309081;0.989;0.953;1.95017598401188E-144;TexProg;Rpl22
9.96276101762169E-149;0.349397230153714;1;0.995;3.21647739453916E-144;TexProg;Rpl17
1.83220896989034E-139;0.30802393769627;0.999;0.997;5.91528665929098E-135;TexProg;Rpl19
1.42032538563129E-138;0.338432421310937;0.999;0.992;4.58552050751061E-134;TexProg;Rps7
3.94463862983709E-138;0.319437919076189;0.999;0.997;1.2735265816429E-133;TexProg;Rpl18a
5.61937877248363E-138;0.313675804865962;1;0.998;1.81421643669634E-133;TexProg;Rps16
1.85112537298944E-137;0.606923275291982;0.16;0.029;5.97635826669639E-133;TexProg;Tespa1
1.98050950614859E-137;0.353317416191378;0.999;0.99;6.39407494060073E-133;TexProg;Rps21
2.89389634821906E-133;0.388515879740225;0.994;0.97;9.34294436022525E-129;TexProg;Rpl3
1.98863007146494E-132;0.312296127421861;1;0.992;6.42029218572454E-128;TexProg;Rpl35a
4.28659610481762E-132;0.409116000479911;0.999;0.982;1.38392755244037E-127;TexProg;Rps27
6.32958090935447E-131;0.364777959127213;0.998;0.98;2.04350519658509E-126;TexProg;Rplp2
